Dist.,Name,Ho`okipa,Party,Areas Represented
1,Kaialiâ€˜i Kahele,+,Dem,Hilo
2,Russell E. Ruderman,+,Dem,"Puna, Ka`u"
3,Josh Green,+,Dem,"Kona, Ka`u"
4,Lorraine Inouye,+,Dem,"Hilo, Hamakua, Kohala, Waimea, Waikoloa, Kona"
5,Gilbert S. C. Keith-Agaran,+,Dem,"Wailuku, Waihe'e, Kahului"
6,Rosalyn Baker,+,Dem,South and West Maui
7,J. Kalani English,+,Dem,"Kalawao, Hana, East and Upcountry Maui, Moloka`i, Lana`i and Kaho`olawe"
8,Ronald D. Kouchi,+,Dem,"Kauai, Ni'ihau"
9,Stanley Chang,++,Dem,"Honolulu,Hawai`i Kai, `Aina Haina, Wai`alae-Kahala, Diamond Head"
10,"Les Ihara, Jr.",+,Dem,"Kaimuki, Kapahulu, Palolo, Maunalani Heights, St. Louis Heights, Mo`ili`ili, Ala Wai"
11,Brian Taniguchi,++,Dem,"Manoa, Makiki, Punchbowl, Papakolea"
12,Brickwood Galuteria,+,Dem,"Kaka`ako, Ala Moana, Waikiki, McCully, Mo`ili`ili"
13,Karl Rhoads,++,Dem,"Liliha, Palama, Iwilei, Kalihi, Nu`uanu, Pacific Heights, Pauoa, Lower Tantalus, Downtown"
14,Donna Mercado Kim,+/-,Dem,"Moanalua, `Aiea, Fort Shafter, Kalihi Valley, Halawa Valley"
15,Glenn Wakai,+,Dem,"Kalihi, Mapunapuna, Airport, Salt Lake, Aliamanu, Foster Village, Hickam, Pearl Harbor"
16,Breene Harimoto,+,Dem,"Pearl City, Momilani, Pearlridge, `Aiea, Royal Summit, `Aiea Heights, Newtown, Waimalu, Halawa, Pearl Harbor"
17,Clarence K. Nishihara,+,Dem,"Waipahu, Pearl City, Crestview, Manana, Pacific Palisades"
18,Michelle Kidani,+,Dem,"Mililani Town, Waipi`o Gentry, Waikele, Village Park, Royal Kunia"
19,Will Espero,+,Dem,"`Ewa Beach, `Ewa by Gentry, Ocean Pointe, `Ewa Villages, Iroquois Point"
20,Mike Gabbard,-,Dem,"Makakilo, Kapolei, Kalaeloa, `Ewa, Waipahu"
21,Maile Shimabukuro,+,Dem,"Kalaeloa, Honokai Hale, Ko `Olina, Nanakuli, Ma`ili, Wai`anae, Makaha, Makua"
22,Donovan Dela Cruz,+,Dem,"Mililani Mauka, Waipi`o Acres, Wheeler, Wahiawa, Whitmore Village, Poamoho"
23,Gil Riviere,-,Dem,"Kunia, Schofield Barracks, Wahiawa, Waialua, Hale`iwa, Kahuku, La`ie, Ka`a`awa, Kane`ohe"
24,Jill N. Tokuda,+,Dem,"`Ahuimanu, He`eia, Kane`ohe, Kane`ohe MCAB"
25,Laura Thielen,+,Dem,"Kailua, Lanikai, Enchanted Lake, Keolu Hills, Maunawili, Waimanalo, Hawai`i Kai, Portlock"
